OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,,
SO - 0009501,1/4/2015,80,Wholesale,GBP,NXH382,64,13,11,783.90,"8,622.90",399.79,,
SO - 0001259,1/5/2015,10,Distributor,GBP,AXW291,69,19,8,"3,825.70","30,605.60","2,601.48",,
SO - 0002564,1/5/2015,28,Wholesale,GBP,AXW291,28,3,12,167.50,"2,010.00",103.85,,
SO - 0002932,1/5/2015,123,Wholesale,GBP,AXW291,7,15,5,"1,112.20","5,561.00",544.98,,
SO - 0004007,1/5/2015,54,Wholesale,GBP,AXW291,50,21,11,"1,011.70","11,128.70",586.79,,
SO - 0004967,1/5/2015,77,Distributor,GBP,AXW291,83,16,12,"3,845.80","46,149.60","2,230.56",,
SO - 0005147,1/5/2015,34,Export,GBP,AXW291,26,19,6,"1,065.30","6,391.80",777.67,,
SO - 0007099,1/5/2015,130,Distributor,GBP,AXW291,17,2,7,"3,899.40","27,295.80","1,598.75",,
SO - 0008408,1/5/2015,59,Distributor,GBP,AXW291,38,26,7,"3,966.40","27,764.80","2,379.84",,
SO - 0008693,1/5/2015,119,Wholesale,GBP,FLR025,81,10,9,"6,050.10","54,450.90","3,025.05",,
SO - 000513,1/6/2015,26,Distributor,GBP,AXW291,20,25,11,"3,946.30","43,409.30","2,012.61",,
SO - 0001219,1/6/2015,6,Wholesale,GBP,AXW291,84,14,5,180.90,904.50,130.25,,
SO - 0001802,1/6/2015,81,Distributor,GBP,AXW291,73,18,9,"1,159.10","10,431.90",533.19,,
SO - 0003588,1/6/2015,142,Export,GBP,AXW291,8,26,7,214.40,"1,500.80",137.22,,
SO - 0005064,1/6/2015,167,Distributor,GBP,AXW291,33,28,8,"2,626.40","21,011.20","1,365.73",,
SO - 0005739,1/6/2015,79,Wholesale,GBP,AXW291,1,13,5,"1,132.30","5,661.50",600.12,,
SO - 0010273,1/6/2015,159,Wholesale,GBP,AXW291,9,2,6,"2,418.70","14,512.20","1,910.77",,
SO - 0010205,1/6/2015,134,Export,GBP,FLR025,13,25,8,897.80,"7,182.40",763.13,,
SO - 0009690,1/6/2015,172,Export,GBP,AXW291,27,13,11,871.00,"9,581.00",418.08,,
SO - 0009887,1/6/2015,157,Wholesale,GBP,AXW291,77,4,10,737.00,"7,370.00",449.57,,
SO - 0008915,1/6/2015,73,Wholesale,GBP,AXW291,58,8,8,"2,291.40","18,331.20","1,260.27",,
SO - 0001627,1/7/2015,84,Distributor,GBP,AXW291,62,16,10,"3,959.70","39,597.00","3,009.37",,
SO - 0003949,1/7/2015,46,Wholesale,GBP,AXW291,57,25,6,"3,088.70","18,532.20","2,069.43",,
SO - 0003973,1/7/2015,9,Wholesale,GBP,AXW291,31,14,7,"6,170.70","43,194.90","4,998.27",,
SO - 0004731,1/7/2015,143,Distributor,GBP,AXW291,58,25,6,"2,532.60","15,195.60","1,696.84",,
SO - 0006514,1/7/2015,12,Wholesale,GBP,AXW291,36,2,10,"1,078.70","10,787.00",431.48,,
SO - 0009692,1/7/2015,129,Distributor,GBP,FLR025,17,25,5,"1,132.30","5,661.50",781.29,,
SO - 0002047,1/8/2015,174,Wholesale,GBP,AXW291,64,10,9,"1,775.50","15,979.50",994.28,,
SO - 0005824,1/8/2015,112,Wholesale,GBP,AXW291,38,22,6,"1,112.20","6,673.20",778.54,,
SO - 0006820,1/8/2015,117,Wholesale,GBP,AXW291,60,25,7,"1,145.70","8,019.90",515.57,,
SO - 0007183,1/8/2015,144,Distributor,GBP,AXW291,60,13,9,268.00,"2,412.00",222.44,,
SO - 0007187,1/8/2015,4,Wholesale,GBP,AXW291,8,7,11,"1,031.80","11,349.80",588.13,,
SO - 0009579,1/8/2015,82,Wholesale,GBP,GUT930,83,23,6,"1,025.10","6,150.60",635.56,,
SO - 0009545,1/8/2015,39,Wholesale,GBP,NXH382,34,30,5,"3,839.10","19,195.50","2,956.11",,
SO - 0010539,1/8/2015,74,Wholesale,GBP,NXH382,79,4,8,891.10,"7,128.80",623.77,,
SO - 0008823,1/8/2015,156,Distributor,GBP,AXW291,36,15,5,"1,058.60","5,293.00",783.36,,
SO - 0002801,1/9/2015,9,Distributor,GBP,AXW291,68,29,6,"1,031.80","6,190.80",412.72,,
SO - 0006661,1/9/2015,115,Wholesale,GBP,AXW291,40,17,6,"3,370.10","20,220.60","2,257.97",,
SO - 0006737,1/9/2015,175,Wholesale,GBP,AXW291,71,2,6,"1,206.00","7,236.00",964.80,,
SO - 0007632,1/9/2015,33,Distributor,GBP,AXW291,44,10,10,"3,939.60","39,396.00","1,851.61",,
SO - 0008500,1/9/2015,114,Wholesale,GBP,AXW291,61,8,12,"6,559.30","78,711.60","3,279.65",,
SO - 0010559,1/9/2015,73,Distributor,GBP,AXW291,39,10,7,"1,902.80","13,319.60","1,065.57",,
SO - 0005813,1/10/2015,106,Wholesale,GBP,AXW291,54,13,7,"1,159.10","8,113.70",788.19,,
SO - 0008224,1/10/2015,29,Distributor,GBP,GUT930,15,9,12,227.80,"2,733.60",159.46,,
SO - 0009852,1/10/2015,12,Export,GBP,FLR025,46,20,8,917.90,"7,343.20",541.56,,
SO - 0009382,1/10/2015,40,Wholesale,GBP,GUT930,37,13,11,"1,728.60","19,014.60","1,175.45",,
SO - 000992,1/11/2015,31,Export,GBP,AXW291,37,13,7,"3,912.80","27,389.60","2,778.09",,
SO - 0002741,1/11/2015,9,Wholesale,GBP,AXW291,74,13,9,"1,775.50","15,979.50","1,473.67",,
SO - 0003918,1/11/2015,93,Wholesale,GBP,AXW291,49,26,6,"1,105.50","6,633.00",851.24,,
SO - 0004955,1/11/2015,51,Export,GBP,AXW291,60,5,8,"5,561.00","44,488.00","2,335.62",,
SO - 0010423,1/11/2015,121,Wholesale,GBP,GUT930,24,27,7,"3,986.50","27,905.50","2,989.88",,
SO - 0009182,1/11/2015,97,Distributor,GBP,NXH382,4,1,12,"3,825.70","45,908.40","3,175.33",,
SO - 0010649,1/11/2015,148,Wholesale,GBP,FLR025,51,2,6,"1,782.20","10,693.20","1,051.50",,
SO - 0009669,1/11/2015,109,Wholesale,GBP,NXH382,47,6,10,"1,286.40","12,864.00",514.56,,
SO - 0009582,1/11/2015,106,Wholesale,GBP,AXW291,41,17,9,"6,190.80","55,717.20","3,900.20",,
SO - 0001521,1/12/2015,111,Export,GBP,AXW291,57,19,7,"1,065.30","7,457.10",724.40,,
SO - 0002398,1/12/2015,125,Wholesale,GBP,AXW291,73,30,12,"1,996.60","23,959.20","1,637.21",,
SO - 0003239,1/12/2015,20,Distributor,GBP,AXW291,75,5,6,"3,966.40","23,798.40","1,586.56",,
SO - 0005615,1/12/2015,59,Wholesale,GBP,AXW291,31,20,5,"3,939.60","19,698.00","2,087.99",,
SO - 0006447,1/12/2015,59,Distributor,GBP,AXW291,39,17,5,"2,680.00","13,400.00","2,117.20",,
SO - 0007054,1/12/2015,37,Distributor,GBP,AXW291,73,25,8,"2,525.90","20,207.20","1,818.65",,
SO - 0010735,1/12/2015,42,Wholesale,GBP,FLR025,40,29,11,"1,996.60","21,962.60","1,098.13",,
SO - 0010306,1/12/2015,140,Wholesale,GBP,NXH382,52,1,6,194.30,"1,165.80",95.21,,
SO - 000657,1/13/2015,41,Export,GBP,AXW291,48,14,10,"1,118.90","11,189.00",492.32,,
SO - 0005097,1/13/2015,139,Distributor,GBP,AXW291,17,4,12,"2,505.80","30,069.60","1,954.52",,
SO - 0005857,1/13/2015,15,Wholesale,GBP,AXW291,72,26,9,"1,072.00","9,648.00",600.32,,
SO - 0010630,1/13/2015,25,Wholesale,GBP,AXW291,19,12,8,"1,051.90","8,415.20",557.51,,
SO - 0008813,1/13/2015,45,Wholesale,GBP,NXH382,24,3,10,"1,118.90","11,189.00",783.23,,
SO - 000521,1/14/2015,103,Wholesale,GBP,AXW291,51,28,5,"1,105.50","5,527.50",740.69,,
SO - 0003221,1/14/2015,67,Wholesale,GBP,AXW291,4,16,9,"2,237.80","20,140.20","1,409.81",,
SO - 0003792,1/14/2015,34,Wholesale,GBP,AXW291,16,24,7,187.60,"1,313.20",146.33,,
SO - 0003879,1/14/2015,152,Wholesale,GBP,AXW291,57,21,9,"1,273.00","11,457.00","1,043.86",,
SO - 0005756,1/14/2015,138,Export,GBP,AXW291,14,3,5,"3,631.40","18,157.00","1,561.50",,
SO - 0007230,1/14/2015,67,Distributor,GBP,AXW291,20,15,6,"3,899.40","23,396.40","3,275.50",,
SO - 0008267,1/14/2015,51,Wholesale,GBP,NXH382,1,23,5,"1,098.80","5,494.00",901.02,,
SO - 0003422,1/15/2015,63,Distributor,GBP,AXW291,80,20,11,221.10,"2,432.10",121.61,,
SO - 0004448,1/15/2015,7,Wholesale,GBP,AXW291,38,9,11,"3,845.80","42,303.80","2,615.14",,
SO - 0008391,1/15/2015,25,Wholesale,GBP,GUT930,59,5,7,"3,906.10","27,342.70","3,046.76",,
SO - 0008948,1/15/2015,82,Distributor,GBP,GUT930,55,26,9,"5,226.00","47,034.00","4,442.10",,
SO - 0004790,1/16/2015,36,Export,GBP,AXW291,59,3,12,"1,085.40","13,024.80",607.82,,
SO - 0007086,1/16/2015,100,Wholesale,GBP,AXW291,62,26,7,"2,345.00","16,415.00","1,219.40",,
SO - 0007336,1/16/2015,110,Distributor,GBP,AXW291,63,25,11,"1,125.60","12,381.60",619.08,,
SO - 0008075,1/16/2015,155,Wholesale,GBP,AXW291,81,22,7,790.60,"5,534.20",490.17,,
SO - 0010123,1/16/2015,89,Distributor,GBP,AXW291,48,25,12,864.30,"10,371.60",535.87,,
SO - 0003170,1/17/2015,92,Distributor,GBP,AXW291,71,13,11,"1,969.80","21,667.80",827.32,,
SO - 0003190,1/17/2015,88,Wholesale,GBP,AXW291,12,26,10,201.00,"2,010.00",160.80,,
SO - 0003227,1/17/2015,37,Wholesale,GBP,AXW291,84,5,7,"1,065.30","7,457.10",862.89,,
SO - 0005834,1/17/2015,65,Wholesale,GBP,AXW291,49,16,7,"3,906.10","27,342.70","2,538.97",,
SO - 0006227,1/17/2015,146,Wholesale,GBP,AXW291,54,18,11,"1,159.10","12,750.10",602.73,,
SO - 0007460,1/17/2015,155,Wholesale,GBP,AXW291,66,5,10,"1,011.70","10,117.00",556.44,,
SO - 0010370,1/17/2015,117,Distributor,GBP,NXH382,25,14,10,998.30,"9,983.00",808.62,,
SO - 0009056,1/17/2015,107,Wholesale,GBP,AXW291,50,4,7,"1,011.70","7,081.90",708.19,,
SO - 0008966,1/17/2015,150,Distributor,GBP,FLR025,56,16,12,"2,244.50","26,934.00","1,122.25",,
SO - 0008754,1/17/2015,147,Distributor,GBP,AXW291,14,3,5,"1,286.40","6,432.00",630.34,,
SO - 000893,1/18/2015,149,Distributor,GBP,AXW291,35,18,11,"6,103.70","67,140.70","2,746.67",,
SO - 0003549,1/18/2015,72,Distributor,GBP,AXW291,49,21,12,"1,045.20","12,542.40",480.79,,
SO - 0007322,1/18/2015,151,Wholesale,GBP,AXW291,44,1,5,"4,020.00","20,100.00","3,095.40",,
SO - 0010045,1/18/2015,144,Distributor,GBP,AXW291,20,6,10,"3,899.40","38,994.00","3,119.52",,
SO - 000107,1/19/2015,151,Distributor,GBP,AXW291,76,22,10,"1,192.60","11,926.00",536.67,,
SO - 000593,1/19/2015,85,Wholesale,GBP,AXW291,71,4,8,"5,547.60","44,380.80","4,216.18",,
SO - 0001326,1/19/2015,41,Distributor,GBP,AXW291,4,2,12,201.00,"2,412.00",152.76,,
SO - 0003367,1/19/2015,129,Wholesale,GBP,AXW291,74,13,5,"2,968.10","14,840.50","1,187.24",,
SO - 0005016,1/19/2015,118,Distributor,GBP,AXW291,77,13,10,"2,619.70","26,197.00","1,938.58",,
SO - 0006511,1/19/2015,61,Distributor,GBP,AXW291,32,25,8,"2,465.60","19,724.80","1,873.86",,
SO - 0006598,1/19/2015,48,Wholesale,GBP,AXW291,19,17,11,871.00,"9,581.00",540.02,,
SO - 0009939,1/19/2015,4,Export,GBP,AXW291,62,13,11,"2,385.20","26,237.20","1,765.05",,
SO - 000654,1/20/2015,68,Wholesale,GBP,AXW291,81,22,11,"1,051.90","11,570.90",515.43,,
SO - 0001892,1/20/2015,72,Distributor,GBP,AXW291,44,24,6,"3,155.70","18,934.20","2,240.55",,
SO - 0002825,1/20/2015,113,Wholesale,GBP,AXW291,23,25,5,"3,175.80","15,879.00","1,905.48",,
SO - 0003419,1/20/2015,53,Export,GBP,AXW291,5,2,10,"1,098.80","10,988.00",637.30,,
SO - 0003637,1/20/2015,55,Distributor,GBP,AXW291,48,20,6,737.00,"4,422.00",302.17,,
SO - 0004556,1/20/2015,109,Distributor,GBP,AXW291,68,17,10,"1,876.00","18,760.00","1,013.04",,
SO - 0005689,1/20/2015,156,Distributor,GBP,AXW291,55,15,5,"1,058.60","5,293.00",783.36,,
SO - 0006321,1/20/2015,65,Distributor,GBP,AXW291,68,5,9,"3,939.60","35,456.40","2,481.95",,
SO - 0010119,1/20/2015,164,Distributor,GBP,GUT930,13,23,8,"1,862.60","14,900.80",745.04,,
SO - 0009308,1/20/2015,9,Distributor,GBP,AXW291,50,27,6,"1,299.80","7,798.80",675.90,,
SO - 0008143,1/20/2015,122,Distributor,GBP,AXW291,59,16,7,"1,125.60","7,879.20",697.87,,
SO - 0008889,1/20/2015,42,Wholesale,GBP,NXH382,61,9,6,"1,239.50","7,437.00",607.36,,
SO - 0008356,1/20/2015,48,Distributor,GBP,AXW291,64,16,12,"3,845.80","46,149.60","1,615.24",,
SO - 000144,1/21/2015,115,Wholesale,GBP,AXW291,31,25,7,"3,095.40","21,667.80","2,012.01",,
SO - 000357,1/21/2015,82,Wholesale,GBP,AXW291,39,2,8,891.10,"7,128.80",739.61,,
SO - 0001466,1/21/2015,72,Wholesale,GBP,AXW291,60,11,10,"1,172.50","11,725.00",715.23,,
SO - 0002331,1/21/2015,16,Wholesale,GBP,AXW291,18,24,6,"1,822.40","10,934.40","1,111.66",,
SO - 0002409,1/21/2015,84,Wholesale,GBP,AXW291,34,12,9,"1,105.50","9,949.50",773.85,,
SO - 0002878,1/21/2015,117,Distributor,GBP,AXW291,2,12,11,"1,025.10","11,276.10",635.56,,
SO - 0003178,1/21/2015,92,Export,GBP,AXW291,61,1,5,737.00,"3,685.00",368.50,,
SO - 0009151,1/21/2015,75,Export,GBP,NXH382,73,20,5,"1,775.50","8,877.50","1,296.12",,
SO - 0009468,1/21/2015,174,Wholesale,GBP,NXH382,68,5,12,"1,125.60","13,507.20",472.75,,
SO - 0009954,1/21/2015,117,Wholesale,GBP,AXW291,56,25,7,"1,145.70","8,019.90",515.57,,
SO - 0009708,1/21/2015,58,Wholesale,GBP,AXW291,65,19,7,"3,477.30","24,341.10","1,390.92",,
SO - 000418,1/22/2015,46,Wholesale,GBP,AXW291,54,6,7,703.50,"4,924.50",316.58,,
SO - 0001373,1/22/2015,127,Distributor,GBP,AXW291,56,20,12,"2,532.60","30,391.20","1,848.80",,
SO - 0003642,1/22/2015,116,Export,GBP,AXW291,37,12,6,750.40,"4,502.40",487.76,,
SO - 0006328,1/22/2015,151,Wholesale,GBP,AXW291,44,27,8,247.90,"1,983.20",114.03,,
SO - 0006428,1/22/2015,81,Export,GBP,AXW291,10,4,12,"2,934.60","35,215.20","1,437.95",,
SO - 0007229,1/22/2015,143,Wholesale,GBP,AXW291,30,9,6,"3,879.30","23,275.80","2,094.82",,
SO - 0007857,1/22/2015,25,Export,GBP,AXW291,85,2,7,"2,257.90","15,805.30","1,106.37",,
SO - 0008068,1/22/2015,2,Wholesale,GBP,AXW291,48,15,7,"3,403.60","23,825.20","2,688.84",,
SO - 0010642,1/22/2015,117,Export,GBP,GUT930,9,3,7,964.80,"6,753.60",588.53,,
SO - 0008695,1/22/2015,7,Distributor,GBP,AXW291,76,13,10,"3,618.00","36,180.00","2,930.58",,
SO - 0009427,1/22/2015,99,Wholesale,GBP,FLR025,75,4,6,"3,845.80","23,074.80","1,769.07",,
SO - 000561,1/23/2015,125,Wholesale,GBP,AXW291,27,13,7,"1,206.00","8,442.00",663.30,,
SO - 0002217,1/23/2015,133,Wholesale,GBP,AXW291,52,19,9,"1,098.80","9,889.20",483.47,,
SO - 0003278,1/23/2015,7,Wholesale,GBP,AXW291,82,13,5,"3,819.00","19,095.00","2,405.97",,
SO - 0003600,1/23/2015,22,Wholesale,GBP,AXW291,84,5,5,207.70,"1,038.50",145.39,,
SO - 0003757,1/23/2015,136,Wholesale,GBP,AXW291,55,25,9,"2,445.50","22,009.50","1,393.94",,
SO - 0003773,1/23/2015,21,Wholesale,GBP,AXW291,78,25,7,"2,479.00","17,353.00","2,007.99",,
SO - 0005616,1/23/2015,131,Wholesale,GBP,AXW291,18,13,7,"1,996.60","13,976.20","1,557.35",,
SO - 0006249,1/23/2015,56,Distributor,GBP,AXW291,55,10,7,"1,728.60","12,100.20","1,071.73",,
SO - 0009787,1/23/2015,161,Export,GBP,AXW291,72,6,10,917.90,"9,179.00",514.02,,
SO - 0001344,1/24/2015,123,Wholesale,GBP,AXW291,37,16,5,"2,271.30","11,356.50","1,294.64",,
SO - 0002222,1/24/2015,144,Wholesale,GBP,AXW291,21,14,12,"1,842.50","22,110.00",902.83,,
SO - 0004807,1/24/2015,163,Wholesale,GBP,AXW291,84,14,10,"1,005.00","10,050.00",582.90,,
SO - 0005301,1/24/2015,11,Export,GBP,AXW291,44,2,7,254.60,"1,782.20",175.67,,
SO - 0007476,1/24/2015,54,Export,GBP,AXW291,3,15,11,"2,432.10","26,753.10","1,970.00",,
SO - 0008378,1/24/2015,20,Wholesale,GBP,AXW291,20,18,10,"1,038.50","10,385.00",737.34,,
SO - 0008463,1/24/2015,13,Wholesale,GBP,AXW291,68,26,8,"1,862.60","14,900.80",949.93,,
SO - 000219,1/25/2015,38,Export,GBP,AXW291,5,13,8,"1,748.70","13,989.60","1,101.68",,
SO - 000619,1/25/2015,101,Distributor,GBP,AXW291,47,29,8,"1,078.70","8,629.60",755.09,,
SO - 0002122,1/25/2015,41,Wholesale,GBP,AXW291,75,12,6,884.40,"5,306.40",689.83,,
SO - 0005352,1/25/2015,30,Distributor,GBP,AXW291,45,8,5,"1,072.00","5,360.00",761.12,,
SO - 0006644,1/25/2015,46,Distributor,GBP,AXW291,39,22,7,"5,507.40","38,551.80","2,533.40",,
SO - 0008194,1/25/2015,56,Wholesale,GBP,NXH382,31,13,5,"3,892.70","19,463.50","2,102.06",,
SO - 0009119,1/25/2015,84,Wholesale,GBP,FLR025,78,14,7,"1,139.00","7,973.00",683.40,,
SO - 0010315,1/25/2015,138,Wholesale,GBP,NXH382,57,5,12,897.80,"10,773.60",673.35,,
SO - 0008893,1/25/2015,104,Wholesale,GBP,AXW291,24,1,9,"3,919.50","35,275.50","2,978.82",,
SO - 0009177,1/25/2015,67,Wholesale,GBP,GUT930,4,5,7,"2,499.10","17,493.70","1,074.61",,
SO - 0001310,1/26/2015,91,Wholesale,GBP,AXW291,3,26,7,737.00,"5,159.00",626.45,,
SO - 0002610,1/26/2015,137,Wholesale,GBP,AXW291,36,17,10,"1,788.90","17,889.00",751.34,,
SO - 0003341,1/26/2015,14,Wholesale,GBP,AXW291,49,16,12,"2,224.40","26,692.80","1,757.28",,
SO - 0003868,1/26/2015,59,Wholesale,GBP,AXW291,27,26,8,"2,512.50","20,100.00","1,331.63",,
SO - 0004528,1/26/2015,60,Wholesale,GBP,AXW291,17,25,11,"6,358.30","69,941.30","3,942.15",,
SO - 0006086,1/26/2015,112,Distributor,GBP,AXW291,55,20,12,"3,966.40","47,596.80","1,705.55",,
SO - 0006234,1/26/2015,57,Wholesale,GBP,AXW291,59,3,6,"1,983.20","11,899.20","1,269.25",,
SO - 0007123,1/26/2015,60,Distributor,GBP,AXW291,74,4,11,"1,005.00","11,055.00",532.65,,
SO - 0003397,1/27/2015,90,Wholesale,GBP,AXW291,83,19,10,201.00,"2,010.00",142.71,,
SO - 0004965,1/27/2015,68,Distributor,GBP,AXW291,55,4,7,"3,825.70","26,779.90","1,874.59",,
SO - 0006379,1/27/2015,15,Wholesale,GBP,AXW291,69,5,8,"1,038.50","8,308.00",726.95,,
SO - 0007641,1/27/2015,161,Distributor,GBP,AXW291,2,15,10,201.00,"2,010.00",168.84,,
SO - 0007767,1/27/2015,9,Wholesale,GBP,AXW291,39,8,6,"1,842.50","11,055.00","1,252.90",,
SO - 0009877,1/27/2015,35,Wholesale,GBP,NXH382,82,2,5,"6,231.00","31,155.00","4,174.77",,
SO - 0009473,1/27/2015,156,Distributor,GBP,AXW291,52,12,10,"2,881.00","28,810.00","2,362.42",,
SO - 0004252,1/28/2015,167,Export,GBP,AXW291,53,18,10,"1,005.00","10,050.00",683.40,,
SO - 0005888,1/28/2015,100,Distributor,GBP,AXW291,46,13,9,"3,926.20","35,335.80","3,140.96",,
SO - 0006536,1/28/2015,167,Wholesale,GBP,AXW291,74,14,10,"1,085.40","10,854.00",662.09,,
SO - 0006863,1/28/2015,22,Wholesale,GBP,AXW291,36,17,5,944.70,"4,723.50",755.76,,
SO - 0008556,1/28/2015,135,Export,GBP,FLR025,56,25,8,991.60,"7,932.80",634.62,,
SO - 0010662,1/28/2015,118,Wholesale,GBP,AXW291,32,15,6,"2,921.20","17,527.20","2,307.75",,
SO - 0010229,1/28/2015,61,Distributor,GBP,NXH382,3,1,5,"2,800.60","14,003.00","1,680.36",,
SO - 0002449,1/29/2015,167,Wholesale,GBP,AXW291,29,29,7,"1,145.70","8,019.90",641.59,,
SO - 0003376,1/29/2015,172,Distributor,GBP,AXW291,7,22,9,187.60,"1,688.40",138.82,,
SO - 0004727,1/29/2015,150,Export,GBP,AXW291,19,19,9,"2,814.00","25,326.00","1,997.94",,
SO - 0007141,1/29/2015,152,Wholesale,GBP,AXW291,41,4,8,"2,619.70","20,957.60","2,174.35",,
SO - 0010497,1/29/2015,3,Distributor,GBP,GUT930,46,2,11,"1,929.60","21,225.60",868.32,,
SO - 0008383,1/29/2015,22,Wholesale,GBP,AXW291,14,17,11,"1,192.60","13,118.60",632.08,,
SO - 0003322,1/30/2015,47,Wholesale,GBP,AXW291,8,4,7,"5,272.90","36,910.30","4,165.59",,
SO - 0004653,1/30/2015,41,Wholesale,GBP,AXW291,62,1,9,"1,232.80","11,095.20",788.99,,
SO - 0009870,1/30/2015,145,Distributor,GBP,AXW291,40,17,9,"3,852.50","34,672.50","2,311.50",,
SO - 0008697,1/30/2015,119,Export,GBP,AXW291,53,25,6,"3,671.60","22,029.60","1,468.64",,
SO - 0008706,1/30/2015,171,Wholesale,GBP,FLR025,73,18,5,"3,845.80","19,229.00","1,730.61",,
SO - 0009790,1/30/2015,98,Wholesale,GBP,AXW291,57,13,8,844.20,"6,753.60",641.59,,
SO - 0008751,1/30/2015,147,Wholesale,GBP,GUT930,1,25,8,"6,157.30","49,258.40","4,617.98",,
SO - 000185,1/31/2015,102,Export,GBP,AXW291,31,5,9,"5,447.10","49,023.90","3,540.62",,
SO - 0005852,1/31/2015,127,Wholesale,GBP,AXW291,78,13,9,938.00,"8,442.00",750.40,,
SO - 0006229,1/31/2015,91,Wholesale,GBP,AXW291,46,26,9,"2,278.00","20,502.00","1,161.78",,
SO - 0007164,1/31/2015,112,Wholesale,GBP,AXW291,34,15,8,"2,311.50","18,492.00","1,386.90",,
SO - 0007796,1/31/2015,125,Distributor,GBP,AXW291,15,13,5,"1,782.20","8,911.00","1,497.05",,
